,month,state,permit,permit_recheck,handgun,long_gun,other,multiple,admin,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,returned_other,rentals_handgun,rentals_long_gun,private_sale_handgun,private_sale_long_gun,private_sale_other,return_to_seller_handgun,return_to_seller_long_gun,return_to_seller_other,totals
11401,2000-06,Iowa,2322.0,,29.0,1633.0,,4,15.0,,,,,,,,,,,,,,,,,,4003
11402,2000-06,Kansas,0.0,,2057.0,3009.0,,139,0.0,,,,,,,,,,,,,,,,,,5205
11403,2000-06,Kentucky,0.0,,6376.0,7163.0,,340,0.0,,,,,,,,,,,,,,,,,,13879
11404,2000-06,Louisiana,0.0,,4562.0,4891.0,,200,0.0,,,,,,,,,,,,,,,,,,9653
11405,2000-06,Maine,0.0,,843.0,1519.0,,44,0.0,,,,,,,,,,,,,,,,,,2406
11406,2000-06,Mariana Islands,0.0,,0.0,0.0,,0,0.0,,,,,,,,,,,,,,,,,,0
11407,2000-06,Maryland,2719.0,,141.0,2495.0,,9,0.0,,,,,,,,,,,,,,,,,,5364
11408,2000-06,Massachusetts,3349.0,,1057.0,590.0,,16,299.0,,,,,,,,,,,,,,,,,,5311
11409,2000-06,Michigan,9267.0,,80.0,8801.0,,2,0.0,,,,,,,,,,,,,,,,,,18150
11410,2000-06,Minnesota,2376.0,,2368.0,5976.0,,88,0.0,,,,,,,,,,,,,,,,,,10808
11411,2000-06,Mississippi,0.0,,4334.0,4721.0,,165,0.0,,,,,,,,,,,,,,,,,,9220
11412,2000-06,Missouri,1.0,,2881.0,8094.0,,109,0.0,,,,,,,,,,,,,,,,,,11085
11413,2000-06,Montana,1.0,,1554.0,3681.0,,90,2.0,,,,,,,,,,,,,,,,,,5328
11414,2000-06,Nebraska,846.0,,24.0,1265.0,,2,0.0,,,,,,,,,,,,,,,,,,2137
11415,2000-06,Nevada,0.0,,1796.0,1702.0,,113,0.0,,,,,,,,,,,,,,,,,,3611
11416,2000-06,New Hampshire,45.0,,1194.0,1447.0,,11,0.0,,,,,,,,,,,,,,,,,,2697
